name,price
BARBIJO TRICAPA TERMOSELLADO GASANA x 50 u. NEGRO,$1.045
BARBIJO TRICAPA TERMOSELLADO GASANA x 50 u. AZUL,$1.045
ESPEJO CON AUMENTO 10x,$538
IRRIGADOR PLASTICO ATUCHA x 2 LITROS,$624
JESSAMY CEPILLO CABELLO NEUMATICO RECTO (C631),$534
TELA MICROPOROSA FUREY S/CARRET (MOD 2) 5cm,$1.257
"TELA MICROPOROSA FUREY S/CARRET (MOD 2) 2,5cm",$1.257
"TELA MICROPOROSA FUREY S/CARRET (MOD 2) 1,25cm",$1.257
TELA FUREY MICROPOROSA C/CARRET (MOD 2) 5cm,$1.572
"TELA FUREY MICROPOROSA C/CARRET (MOD 2) 2,5cm",$2.300
"TELA FUREY MICROPOROSA C/CARRET (MOD 2) 1,25cm",$2.367
